path,spratRatio,herringRatio,smeltRatio,sticklebackRatio
../../../data/Pseudo_Mixtures/Image_17.jpg,0.2669,0.5345,0.0002,0.1984
../../../data/Pseudo_Mixtures/Image_18.jpg,0.2237,0.5437,0.0,0.2326
../../../data/Pseudo_Mixtures/Image_19.jpg,0.2336,0.5671,0.0062,0.1931
../../../data/Pseudo_Mixtures/Image_20.jpg,0.2635,0.5194,0.0,0.2171
../../../data/Pseudo_Mixtures/Image_21.jpg,0.1803,0.5936,0.0,0.2262
../../../data/Pseudo_Mixtures/Image_22.jpg,0.3372,0.4502,0.0,0.2126
../../../data/Pseudo_Mixtures/Image_23.jpg,0.2742,0.5174,0.0,0.2084
../../../data/Pseudo_Mixtures/Image_24.jpg,0.3163,0.5359,0.0002,0.1477
../../../data/Pseudo_Mixtures/Image_25.jpg,0.2436,0.6223,0.0005,0.1336
../../../data/Pseudo_Mixtures/Image_26.jpg,0.2467,0.5473,0.0,0.206
../../../data/Pseudo_Mixtures/Image_27.jpg,0.3225,0.4601,0.0029,0.2145
../../../data/Pseudo_Mixtures/Image_28.jpg,0.2767,0.5356,0.0,0.1877
../../../data/Pseudo_Mixtures/Image_29.jpg,0.2967,0.5718,0.0122,0.1193
../../../data/Pseudo_Mixtures/Image_30.jpg,0.2412,0.5083,0.0,0.2505
../../../data/Pseudo_Mixtures/Image_31.jpg,0.3215,0.5042,0.0,0.1743
../../../data/Pseudo_Mixtures/Image_32.jpg,0.2283,0.5766,0.0,0.1951
../../../data/Pseudo_Mixtures/Image_33.jpg,0.2894,0.5378,0.0,0.1728
../../../data/Pseudo_Mixtures/Image_34.jpg,0.2665,0.5434,0.0006,0.1895
../../../data/Pseudo_Mixtures/Image_35.jpg,0.2952,0.4814,0.0005,0.2229
../../../data/Pseudo_Mixtures/Image_36.jpg,0.2747,0.5575,0.0,0.1677
../../../data/Pseudo_Mixtures/Image_37.jpg,0.3709,0.4923,0.0,0.1368
../../../data/Pseudo_Mixtures/Image_38.jpg,0.271,0.4996,0.0,0.2293
../../../data/Pseudo_Mixtures/Image_39.jpg,0.3058,0.5896,0.0009,0.1038
../../../data/Pseudo_Mixtures/Image_40.jpg,0.2578,0.5176,0.0,0.2246
../../../data/Pseudo_Mixtures/Image_41.jpg,0.3052,0.5584,0.0,0.1363
../../../data/Pseudo_Mixtures/Image_42.jpg,0.2934,0.5292,0.0,0.1774
../../../data/Pseudo_Mixtures/Image_43.jpg,0.3057,0.554,0.0,0.1402
../../../data/Pseudo_Mixtures/Image_44.jpg,0.2674,0.4634,0.0131,0.256
../../../data/Pseudo_Mixtures/Image_45.jpg,0.3267,0.465,0.0,0.2083
../../../data/Pseudo_Mixtures/Image_46.jpg,0.2707,0.5507,0.0,0.1786
../../../data/Pseudo_Mixtures/Image_47.jpg,0.2467,0.4819,0.0,0.2714
../../../data/Pseudo_Mixtures/Image_48.jpg,0.2897,0.4949,0.0,0.2154
../../../data/Pseudo_Mixtures/Image_49.jpg,0.2214,0.5616,0.0,0.2171
../../../data/Pseudo_Mixtures/Image_50.jpg,0.2059,0.5855,0.0,0.2087
../../../data/Pseudo_Mixtures/Image_51.jpg,0.2906,0.5257,0.0,0.1837
../../../data/Pseudo_Mixtures/Image_52.jpg,0.273,0.5002,0.0116,0.2152
../../../data/Pseudo_Mixtures/Image_53.jpg,0.3443,0.4664,0.0229,0.1663
../../../data/Pseudo_Mixtures/Image_54.jpg,0.2255,0.5472,0.0,0.2273
../../../data/Pseudo_Mixtures/Image_55.jpg,0.271,0.5184,0.0,0.2106
../../../data/Pseudo_Mixtures/Image_56.jpg,0.3055,0.5316,0.0,0.1629
../../../data/Pseudo_Mixtures/Image_57.jpg,0.3325,0.5687,0.0006,0.0982
../../../data/Pseudo_Mixtures/Image_58.jpg,0.2791,0.5323,0.0,0.1886
